VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,08/12/2018 08:49:26 PM,08/12/2018 09:00:57 PM,1,2.2,1,N,234,246,1,10,0.5,0.5,2.25,0,0.3,13.55
1,08/12/2018 08:03:15 PM,08/12/2018 08:11:30 PM,1,1.4,1,Y,137,161,3,7.5,0,0.5,0,0,0.3,8.3
1,08/12/2018 08:17:42 PM,08/12/2018 08:20:21 PM,1,0.7,1,N,170,107,1,4.5,0,0.5,1.55,0,0.3,6.85
1,08/12/2018 08:21:27 PM,08/12/2018 08:23:27 PM,1,0.4,1,N,107,113,1,3.5,0,0.5,0.85,0,0.3,5.15
1,08/12/2018 08:36:27 PM,08/12/2018 08:51:11 PM,1,2.2,1,N,144,224,1,11.5,0,0.5,2.45,0,0.3,14.75
1,08/12/2018 08:55:16 PM,08/12/2018 09:01:39 PM,1,1.7,1,N,224,170,1,7.5,0,0.5,1.65,0,0.3,9.95
2,08/12/2018 08:10:28 PM,08/12/2018 08:41:14 PM,1,7.71,1,N,113,151,2,27,0.5,0.5,0,0,0.3,28.3
2,08/12/2018 08:55:38 PM,08/12/2018 09:05:20 PM,1,2.29,1,N,50,68,1,9.5,0.5,0.5,2.16,0,0.3,12.96
1,08/12/2018 08:08:47 PM,08/12/2018 08:18:28 PM,1,1.4,1,N,249,170,2,8.5,0.5,0.5,0,0,0.3,9.8
1,08/12/2018 08:26:23 PM,08/12/2018 08:30:30 PM,1,0.5,1,N,162,237,2,5,0.5,0.5,0,0,0.3,6.3
1,08/12/2018 08:09:01 PM,08/12/2018 08:16:17 PM,2,1.3,1,N,263,141,1,7,0.5,0.5,1.65,0,0.3,9.95
1,08/12/2018 08:06:16 PM,08/12/2018 08:40:55 PM,2,11.2,1,N,138,52,1,33,0.5,0.5,8.55,0,0.3,42.85
1,08/12/2018 08:56:11 PM,08/12/2018 09:05:54 PM,2,1.7,1,N,148,137,1,9,0.5,0.5,2.55,0,0.3,12.85
2,08/12/2018 08:17:30 PM,08/12/2018 08:20:11 PM,1,0.4,1,N,166,151,2,4,0.5,0.5,0,0,0.3,5.3
2,08/12/2018 08:24:34 PM,08/12/2018 08:32:19 PM,1,1.46,1,N,238,143,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,08/12/2018 08:45:16 PM,08/12/2018 08:52:33 PM,1,1.22,1,N,142,229,1,6.5,0.5,0.5,1.56,0,0.3,9.36
1,08/12/2018 08:59:35 PM,08/12/2018 09:38:48 PM,1,20.8,2,N,132,141,1,52,0,0.5,11.7,5.76,0.3,70.26
2,08/12/2018 08:09:39 PM,08/12/2018 08:17:24 PM,1,2.4,1,N,237,238,2,9,0.5,0.5,0,0,0.3,10.3
2,08/12/2018 08:23:40 PM,08/12/2018 08:29:21 PM,1,1.3,1,N,142,239,1,6.5,0.5,0.5,1,0,0.3,8.8
2,08/12/2018 08:36:46 PM,08/12/2018 08:57:27 PM,1,3.96,1,N,239,158,1,16,0.5,0.5,4.32,0,0.3,21.62
2,08/12/2018 08:02:22 PM,08/12/2018 08:23:10 PM,1,6.96,1,N,48,244,1,23.5,0.5,0.5,6.2,0,0.3,31
2,08/12/2018 08:32:04 PM,08/12/2018 08:48:41 PM,1,5.79,1,N,116,48,1,19.5,0.5,0.5,1,0,0.3,21.8
2,08/12/2018 08:49:38 PM,08/12/2018 09:02:55 PM,1,3.92,1,N,48,238,1,14,0.5,0.5,2.3,0,0.3,17.6
1,08/12/2018 08:10:44 PM,08/12/2018 08:22:23 PM,2,1.7,1,N,164,79,1,9.5,0.5,0.5,2.15,0,0.3,12.95
1,08/12/2018 08:26:24 PM,08/12/2018 08:36:09 PM,1,1.1,1,N,4,144,1,7.5,0.5,0.5,1.75,0,0.3,10.55
