timeid,hour,day,timestring
1,0,1,2018-01-01 00:00:00
2,1,1,2018-01-01 01:00:00
3,2,1,2018-01-01 02:00:00
4,3,1,2018-01-01 03:00:00
5,4,1,2018-01-01 04:00:00
6,5,1,2018-01-01 05:00:00
7,6,1,2018-01-01 06:00:00
8,7,1,2018-01-01 07:00:00
9,8,1,2018-01-01 08:00:00
10,9,1,2018-01-01 09:00:00
11,10,1,2018-01-01 10:00:00
12,11,1,2018-01-01 11:00:00
13,12,1,2018-01-01 12:00:00
14,13,1,2018-01-01 13:00:00
15,14,1,2018-01-01 14:00:00
16,15,1,2018-01-01 15:00:00
17,16,1,2018-01-01 16:00:00
18,17,1,2018-01-01 17:00:00
19,18,1,2018-01-01 18:00:00
20,19,1,2018-01-01 19:00:00
21,20,1,2018-01-01 20:00:00
22,21,1,2018-01-01 21:00:00
23,22,1,2018-01-01 22:00:00
24,23,1,2018-01-01 23:00:00
25,0,2,2018-01-02 00:00:00
26,1,2,2018-01-02 01:00:00
27,2,2,2018-01-02 02:00:00
28,3,2,2018-01-02 03:00:00
29,4,2,2018-01-02 04:00:00
30,5,2,2018-01-02 05:00:00
31,6,2,2018-01-02 06:00:00
32,7,2,2018-01-02 07:00:00
33,8,2,2018-01-02 08:00:00
34,9,2,2018-01-02 09:00:00
35,10,2,2018-01-02 10:00:00
36,11,2,2018-01-02 11:00:00
37,12,2,2018-01-02 12:00:00
38,13,2,2018-01-02 13:00:00
39,14,2,2018-01-02 14:00:00
40,15,2,2018-01-02 15:00:00
41,16,2,2018-01-02 16:00:00
42,17,2,2018-01-02 17:00:00
43,18,2,2018-01-02 18:00:00
44,19,2,2018-01-02 19:00:00
45,20,2,2018-01-02 20:00:00
46,21,2,2018-01-02 21:00:00
47,22,2,2018-01-02 22:00:00
48,23,2,2018-01-02 23:00:00
49,0,3,2018-01-03 00:00:00
50,1,3,2018-01-03 01:00:00
51,2,3,2018-01-03 02:00:00
52,3,3,2018-01-03 03:00:00
53,4,3,2018-01-03 04:00:00
54,5,3,2018-01-03 05:00:00
55,6,3,2018-01-03 06:00:00
56,7,3,2018-01-03 07:00:00
57,8,3,2018-01-03 08:00:00
58,9,3,2018-01-03 09:00:00
59,10,3,2018-01-03 10:00:00
60,11,3,2018-01-03 11:00:00
61,12,3,2018-01-03 12:00:00
62,13,3,2018-01-03 13:00:00
63,14,3,2018-01-03 14:00:00
64,15,3,2018-01-03 15:00:00
65,16,3,2018-01-03 16:00:00
66,17,3,2018-01-03 17:00:00
67,18,3,2018-01-03 18:00:00
68,19,3,2018-01-03 19:00:00
69,20,3,2018-01-03 20:00:00
70,21,3,2018-01-03 21:00:00
71,22,3,2018-01-03 22:00:00
72,23,3,2018-01-03 23:00:00
73,0,4,2018-01-04 00:00:00
74,1,4,2018-01-04 01:00:00
75,2,4,2018-01-04 02:00:00
76,3,4,2018-01-04 03:00:00
77,4,4,2018-01-04 04:00:00
78,5,4,2018-01-04 05:00:00
79,6,4,2018-01-04 06:00:00
80,7,4,2018-01-04 07:00:00
81,8,4,2018-01-04 08:00:00
82,9,4,2018-01-04 09:00:00
83,10,4,2018-01-04 10:00:00
84,11,4,2018-01-04 11:00:00
85,12,4,2018-01-04 12:00:00
86,13,4,2018-01-04 13:00:00
87,14,4,2018-01-04 14:00:00
88,15,4,2018-01-04 15:00:00
89,16,4,2018-01-04 16:00:00
90,17,4,2018-01-04 17:00:00
91,18,4,2018-01-04 18:00:00
92,19,4,2018-01-04 19:00:00
93,20,4,2018-01-04 20:00:00
94,21,4,2018-01-04 21:00:00
95,22,4,2018-01-04 22:00:00
96,23,4,2018-01-04 23:00:00
97,0,5,2018-01-05 00:00:00
98,1,5,2018-01-05 01:00:00
99,2,5,2018-01-05 02:00:00
100,3,5,2018-01-05 03:00:00
101,4,5,2018-01-05 04:00:00
102,5,5,2018-01-05 05:00:00
103,6,5,2018-01-05 06:00:00
104,7,5,2018-01-05 07:00:00
105,8,5,2018-01-05 08:00:00
106,9,5,2018-01-05 09:00:00
107,10,5,2018-01-05 10:00:00
108,11,5,2018-01-05 11:00:00
109,12,5,2018-01-05 12:00:00
110,13,5,2018-01-05 13:00:00
111,14,5,2018-01-05 14:00:00
112,15,5,2018-01-05 15:00:00
113,16,5,2018-01-05 16:00:00
114,17,5,2018-01-05 17:00:00
115,18,5,2018-01-05 18:00:00
116,19,5,2018-01-05 19:00:00
117,20,5,2018-01-05 20:00:00
118,21,5,2018-01-05 21:00:00
119,22,5,2018-01-05 22:00:00
120,23,5,2018-01-05 23:00:00
121,0,6,2018-01-06 00:00:00
122,1,6,2018-01-06 01:00:00
123,2,6,2018-01-06 02:00:00
124,3,6,2018-01-06 03:00:00
125,4,6,2018-01-06 04:00:00
126,5,6,2018-01-06 05:00:00
